五大连池市	36.0	0	0.0
铁力市	40.0	0	0.0
同江市	21.0	0	0.0
富锦市	44.0	0	0.0
虎林市	28.0	0	0.0
密山市	43.0	0	0.0
海林市	42.0	0	0.0
宁安市	44.0	0	0.0
安达市	52.0	0	0.0
肇东市	91.0	0	0.0
海伦市	84.0	0	0.0
穆棱市	33.0	0	0.0
东宁市	21.0	0	0.0
抚远市	12.0	0	0.0
南京市	843.0	12820.0	152075.919336
徐州市	871.0	6755.0	77554.5350172
连云港市	451.0	2640.0	58536.5853659
宿迁市	485.0	2126.0	43835.0515464
淮安市	487.0	2745.0	56365.5030801
盐城市	824.0	5487.0	66589.8058252
扬州市	452.0	5466.0	120929.20354
泰州市	464.0	4744.0	102241.37931
南通市	730.0	8427.0	115438.356164
镇江市	317.0	3502.0	110473.18612
常州市	472.0	7050.0	149364.40678
无锡市	657.0	11449.539	174270.0
苏州市	1072.0	18597.0	173479.477612
常熟市	106.0	2279.0	215000.0
张家港市	125.0	2606.0	208480.0
太仓市	70.95	1240.0	174770.965469
昆山市	165.0	3520.0	213333.333333
江阴市	125.0	3806.0	304480.0
宜兴市	125.0	1248.0	99840.0
溧阳市	79.0	935.0	118354.43038
扬中市	34.0	546.0	160588.235294
句容市	52.0	493.0	94807.6923077
丹阳市	97.0	1270.0	130927.835052
如皋市	124.0	1120.0	90322.5806452
海门市	99.0	1135.0	114646.464646
启东市	111.0	989.0	89099.0990991
海安市	93.0	960.0	103225.806452
高邮市	81.0	608.0	75061.7283951
仪征市	56.0	628.0	112142.857143
兴化市	156.0	862.0	55256.4102564
泰兴市	118.0	610.0	51694.9152542
靖江市	68.0	923.0	135735.294118
东台市	112.0	0	0.0
邳州市	143.0	917.0	64125.8741259
新沂市	104.0	0	0.0
杭州市	980.0	12603.0	128602.040816
宁波市	800.0	9846.0	123075.0
湖州市	302.0	2719.0	90033.1125828
嘉兴市	458.0	3760.0	82096.069869
舟山市	116.0	1218.0	105000.0
绍兴市	496.0	4466.0	90040.3225806
衢州市	213.0	1146.0	53802.8169014
金华市	545.0	3406.0	62495.412844
台州市	604.0	3558.0	58907.2847682
温州市	911.0	5045.0	55378.7047201
丽水市	213.0	1102.0	51737.0892019
慈溪市	150.0	1209.0	80600.0
余姚市	104.0	887.0	85288.4615385
平湖市	68.0	605.0	88970.5882353
海宁市	64.0	948.0	148125.0
桐乡市	67.0998	693.0	103278.996361
诸暨市	107.0	1026.0	95887.8504673
嵊州市	73.0	0	0.0
江山市	58.0	0	0.0
兰溪市	56.0	229.0	40892.8571429
永康市	72.0	392.0	54444.4444444
义乌市	131.0	1248.0	95267.1755725
东阳市	80.0	373.0	46625.0
临海市	107.0	0	0.0
温岭市	136.0	0	0.0
瑞安市	142.0	0	0.0
乐清市	138.0	777	56777
龙泉市	29.0	0	0.0
玉环市	43.0	529.0	123023.255814
合肥市	796.0	7213.0	90615.5778894
芜湖市	369.0	3065.0	83062.3306233
蚌埠市	333.0	1550.0	46546.5465465
淮南市	343.0	963.0	28075.8017493
马鞍山市	226.0	1918.0	84867.2566372
淮北市	217.0	929.0	42811.0599078
铜陵市	159.0	911.0	57295.5974843
安庆市	458.0	1417.0	30938.8646288
